trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
207,False,"{'a': 0.8, 'e': 0.12493021219858241}",25,9,23.328354595317503,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.8, 'e': 0.12368713581745483}",25,6,-0.6284159613731333,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
209,False,"{'a': 0.8, 'e': 0.1224564282529819}",30,10,34.66445062684102,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.8, 'e': 0.12123796643338168}",20,13,14.624393433396254,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.8, 'e': 0.12003162851145673}",25,0,34.36309159100572,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
212,False,"{'a': 0.8, 'e': 0.11883729385240965}",20,9,15.609258294520556,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.8, 'e': 0.11765484302177918}",20,10,20.605484660521594,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.8, 'e': 0.11648415777349697}",25,8,31.740399452906924,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.8, 'e': 0.11532512103806251}",20,1,14.29831275506778,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.8, 'e': 0.1141776169108365}",20,3,-12.266045778393002,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
217,False,"{'a': 0.8, 'e': 0.11304153064044985}",20,11,16.461942638659764,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.8, 'e': 0.11191674861732888}",25,2,33.27908810326324,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.8, 'e': 0.11080315836233387}",20,5,-43.41150409170719,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
220,False,"{'a': 0.8, 'e': 0.10970064851551141}",20,13,14.483787008283986,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.8, 'e': 0.10860910882495796}",20,8,-33.35621983583439,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
222,False,"{'a': 0.8, 'e': 0.10752843013579495}",25,13,21.553540046149998,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.8, 'e': 0.1064585043792528}",25,2,22.29166397449295,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.8, 'e': 0.10539922456186433}",20,15,9.24438945508269,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.8, 'e': 0.104350484754765}",30,0,-2.8594946140297415,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
